"Nome","Duracao","Popularidade","Album","Data do Album","Adicionado a:","Cantore(s)"
"Shattered Dreams - Remastered 2008",3.46,66,"Turn Back The Clock","1988","2023-04-14T20:43:50Z","Johnny Hates Jazz"
"She Drives Me Crazy",3.6,77,"The Raw & The Cooked","1988-01-01","2023-04-14T20:43:51Z","Fine Young Cannibals"
"Shout",6.54,0,"Songs From The Big Chair (Super Deluxe Edition)","1985-02-25","2023-04-14T20:43:40Z","Tears For Fears"
"Somebody's Watching Me - Single Version",3.96,1,"Scream","2017-09-27","2023-04-14T20:43:52Z","Rockwell"
"Sunglasses At Night",5.34,60,"The Singles","1992-01-01","2023-04-14T20:43:44Z","Corey Hart"
"Sweet Child O' Mine",5.91,12,"Appetite For Destruction","1987-07-21","2023-04-14T20:43:39Z","Guns N' Roses"
"Sweet Dreams (Are Made of This) - 2005 Remaster",3.62,84,"Sweet Dreams (Are Made Of This)","1983-01-04","2023-04-14T20:43:47Z","Eurythmics, Annie Lennox, Dave Stewart"
"Tainted Love",2.71,2,"The Singles","1986-01-01","2023-04-14T20:43:41Z","Soft Cell"
"Take on Me",3.75,86,"Hunting High and Low","1985-06-01","2023-04-14T20:43:46Z","a-ha"
"Talking In Your Sleep (2023 Remaster)",3.94,70,"In Heat (2023 Remaster)","1983-02-14","2023-04-14T20:43:52Z","The Romantics"
"Tarzan Boy",6.32,73,"Living In The Background","1985-01-01","2023-04-14T20:43:54Z","Baltimora"
"The Look",3.96,2,"Look Sharp! (2009 Version)","1988-10-19","2023-04-14T20:43:52Z","Roxette"
"Together Forever",3.43,0,"Whenever You Need Somebody","1987-11-12","2023-04-14T20:43:54Z","Rick Astley"
"True - Single Edit",5.49,69,"True - The Digital E.P.","2008-04-25","2023-04-14T20:43:48Z","Spandau Ballet"
"Wake Me Up Before You Go-Go",3.86,79,"Make It Big","1984-10-23","2023-04-14T20:43:48Z","Wham!"
"Who Can It Be Now?",3.42,61,"Business As Usual","1981","2023-04-14T20:43:54Z","Men At Work"
"You Can't Hurry Love - 2016 Remaster",2.93,76,"Hello, I Must Be Going! (Deluxe Edition)","1982-11-05","2023-04-14T20:43:42Z","Phil Collins"
"You Spin Me Round (Like a Record)",3.33,3,"Youthquake","1985-03-26","2023-04-14T20:43:50Z","Dead Or Alive"
"Young Turks - 2008 Remaster",5.04,62,"Some Guys Have All the Luck","2008-11-16","2023-04-14T20:43:56Z","Rod Stewart"
"Your Love",3.61,5,"Play Deep","1985-06-29","2023-04-14T20:43:47Z","The Outfield"
